iShares Core S&P Small-Cap ETF
Fund Holdings as of,"Jan 05, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"731,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"TRNO","TERRENO REALTY REIT CORP","EQUITY","Real Estate","Equity","362,081,642.37","362,081,642.37","6,135,937.00","59.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.40","0.40"
"PIPR","PIPER SANDLER COMPANIES","EQUITY","Financials","Equity","361,395,297.42","361,395,297.42","987,257.00","366.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.40","0.40"
"ESI","ELEMENT SOLUTIONS INC","EQUITY","Materials","Equity","357,742,421.00","357,742,421.00","13,499,714.00","26.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.40","0.40"
"LUMN","LUMEN TECHNOLOGIES INC","EQUITY","Communication","Equity","356,253,791.19","356,253,791.19","47,061,267.00","7.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.39","0.40"
"KMX","CARMAX INC","EQUITY","Consumer Discretionary","Equity","351,367,067.52","351,367,067.52","8,714,461.00","40.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.39","0.39"
"RHP","RYMAN HOSPITALITY PROPERTIES REIT","EQUITY","Real Estate","Equity","351,049,921.61","351,049,921.61","3,738,949.00","93.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.39","0.39"
"BOOT","BOOT BARN HOLDINGS INC","EQUITY","Consumer Discretionary","Equity","350,071,394.11","350,071,394.11","1,809,061.00","193.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.39","0.39"
"EPRT","ESSENTIAL PROPERTIES REALTY TRUST","EQUITY","Real Estate","Equity","349,119,959.60","349,119,959.60","11,758,840.00","29.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.39","0.39"
"RAL","RALLIANT CORP","EQUITY","Information Technology","Equity","345,633,369.27","345,633,369.27","6,694,429.00","51.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.38","0.38"
"GTES","GATES INDUSTRIAL PLC","EQUITY","Industrials","Equity","344,256,301.34","344,256,301.34","15,327,529.00","22.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.38","0.38"
"ETSY","ETSY INC","EQUITY","Consumer Discretionary","Equity","343,025,155.20","343,025,155.20","5,857,670.00","58.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.38","0.38"
"MHK","MOHAWK INDUSTRIES INC","EQUITY","Consumer Discretionary","Equity","342,874,948.70","342,874,948.70","3,081,745.00","111.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.38","0.38"
"VSNTV UW","VERSANT MEDIA GROUP INC-WI","EQUITY","Communication","Equity","336,083,705.65","336,083,705.65","8,284,045.00","40.57","United States","NASDAQ","USD","1.00","USD","-","0.37","0.37"
"TFX","TELEFLEX INC","EQUITY","Health Care","Equity","326,418,254.96","326,418,254.96","2,622,676.00","124.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.36","0.36"
"ACA","ARCOSA INC","EQUITY","Industrials","Equity","316,843,235.02","316,843,235.02","2,910,557.00","108.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.35","0.35"
"MMSI","MERIT MEDICAL SYSTEMS INC","EQUITY","Health Care","Equity","314,628,115.06","314,628,115.06","3,518,543.00","89.42","United States","NASDAQ","USD","1.00","USD","-","0.35","0.35"
"GVA","GRANITE CONSTRUCTION INC","EQUITY","Industrials","Equity","310,873,063.93","310,873,063.93","2,590,393.00","120.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.34","0.35"
"BMI","BADGER METER INC","EQUITY","Information Technology","Equity","309,605,288.58","309,605,288.58","1,748,886.00","177.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.34","0.34"
"VSAT","VIASAT INC","EQUITY","Information Technology","Equity","309,046,853.50","309,046,853.50","8,027,191.00","38.50","United States","NASDAQ","USD","1.00","USD","-","0.34","0.34"
"ESE","ESCO TECHNOLOGIES INC","EQUITY","Industrials","Equity","308,905,817.00","308,905,817.00","1,532,575.00","201.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.34","0.34"
"AUB","ATLANTIC UNION BANKSHARES CORP","EQUITY","Financials","Equity","305,745,023.55","305,745,023.55","8,457,677.00","36.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.34","0.34"
"CSW","CSW INDUSTRIALS INC","EQUITY","Industrials","Equity","304,720,289.64","304,720,289.64","990,284.00","307.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.34","0.34"
"AX","AXOS FINANCIAL INC","EQUITY","Financials","Equity","300,855,771.50","300,855,771.50","3,361,517.00","89.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.33","0.33"
"BCPC","BALCHEM CORP","EQUITY","Materials","Equity","300,014,053.50","300,014,053.50","1,921,935.00","156.10","United States","NASDAQ","USD","1.00","USD","-","0.33","0.33"
"STEP","STEPSTONE GROUP INC CLASS A","EQUITY","Financials","Equity","297,254,864.97","297,254,864.97","4,319,937.00","68.81","United States","NASDAQ","USD","1.00","USD","-","0.33","0.33"
"REZI","RESIDEO TECHNOLOGIES INC","EQUITY","Industrials","Equity","296,062,207.56","296,062,207.56","8,173,998.00","36.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.33","0.33"
"PTGX","PROTAGONIST THERAPEUTICS INC","EQUITY","Health Care","Equity","293,568,406.02","293,568,406.02","3,487,389.00","84.18","United States","NASDAQ","USD","1.00","USD","-","0.33","0.33"
