ticker,weight
HCI,1.6672e-2
HCSG,2.3398e-2
HE,9.2416e-2
HFWA,2.9363e-2
HI,5.8948e-2
HIW,5.1273e-2
HLIT,1.5863e-2
HLX,3.2088e-2
HMN,3.6653e-2
HNI,6.4062e-2
HOPE,7.128e-2
HP,0.108049
HSTM,7.721e-3
HTH,4.7201e-2
HTLD,1.8198e-2
HTO,3.3698e-2
HUBG,0.102308
HWKN,2.2936e-2
HZO,3.8935e-2
IAC,8.6197e-2
IART,3.8562e-2
IBP,5.0944e-2
ICHR,2.0521e-2
ICUI,4.6092e-2
IDCC,4.1844e-2
IE000JMT8VI3,2.787e-3
IE00B4Q5ZN47,0.151086
IE00B56GVS15,4.8097e-2
IE00BDGMC594,2.11e-3
IE00BDVJJQ56,0.108838
IE00BKYC3F77,2.0792e-2
IE00BLNN3691,0.130911
IIIN,1.5499e-2
IIPR,4.1211e-2
IL0011684185,8.181e-3
IL0011754137,1.2355e-2
IL0011858912,6.133e-3
INDB,0.137811
INDV,2.783e-2
INN,1.82e-2
INSP,1.1257e-2
INSW,6.0239e-2
INVA,1.7373e-2
INVX,1.4436e-2
IOSP,4.2133e-2
IPAR,2.0175e-2
IRDM,2.6649e-2
ITGR,5.0789e-2
ITRI,4.4623e-2
JBGS,2.602e-2
JBLU,2.8623e-2
JBTM,7.0816e-2
JE00BJJN4441,3.7171e-2
JE00BYPZJM29,0.100311
JE00BYSS4X48,8.651e-3
JOE,1.3479e-2
KAI,3.3693e-2
KFY,7.1849e-2
KGS,3.6139e-2
KMT,4.637e-2
KMX,0.383433
KN,1.7627e-2
KNTK,3.1702e-2
KOP,2.9135e-2
KREF,1.6256e-2
KRYS,1.0843e-2
KTB,4.2899e-2
KW,1.0117e-2
KWR,3.5579e-2
KY61559X1045,3.098e-3
KYG008941083,2.455e-3
KYG037AX1015,5.427e-3
KYG1144A1058,6.49e-3
KYG3323L1005,7.8165e-2
KYG3730V1059,4.8666e-2
KYG386441037,1.6503e-2
KYG4412G1010,0.107493
KYG651631007,2.576e-3
KYG961151035,3.031e-3
LBRT,0.140901
LCII,8.4156e-2
LEG,5.1661e-2
LGIH,5.0664e-2
LGND,9.621e-3
LKFN,2.8497e-2
LKQ,0.285649
LMAT,7.615e-3
LNC,0.246766
LNN,2.0189e-2
LPG,3.7017e-2
LQDT,9.167e-3
LRN,6.237e-2
LTC,2.3811e-2
LUMN,0.179277
LXP,4.1136e-2
LZB,5.0599e-2
MAC,4.4336e-2
MARA,5.319e-2
MATW,2.9404e-2
MATX,3.726e-2
MBC,6.1272e-2
MC,2.7614e-2
MCW,1.0464e-2
MCY,3.6021e-2
MD,3.4507e-2
MDU,6.7173e-2
MGEE,3.2739e-2
MGY,9.8248e-2
MHK,0.22243
MHO,0.119487
MHY2685T1313,1.8889e-2
MIR,2.2526e-2
MKTX,5.5573e-2
MLKN,7.6956e-2
MMI,8.42e-3
MMSI,3.9858e-2
MODG,6.1267e-2
MOGA,7.7849e-2
MPW,5.2811e-2
MRCY,2.4143e-2
MRP,0.172266
MRTN,2.5639e-2
MSEX,1.1527e-2
MSGS,9.118e-3
MTRN,3.7378e-2
MTUS,2.5009e-2
MTX,5.9897e-2
MXL,1.4567e-2
MYGN,8.617e-3
MYRG,3.9112e-2
NABL,6.502e-3
NATL,4.2221e-2
NAVI,7.4491e-2
NBHC,4.6313e-2
NBTB,5.8732e-2
NE,0.103932
NEO,1.547e-2
NEOG,3.1677e-2
NGVT,4.2808e-2
NHC,2.3585e-2
NL0010556684,3.3855e-2
NL0010696654,2.574e-3
NL0013056914,1.3386e-2
NL00150012L7,3.084e-3
NMIH,7.6018e-2
NOG,0.134987
NPK,8.451e-3
NPO,3.5706e-2
NSIT,0.108469
NSP,7.5593e-2
NTCT,2.6806e-2
NVRI,2.8977e-2
NWBI,5.7978e-2
NWL,0.148681
NWN,3.7146e-2
NX,2.7772e-2
NXRT,8.859e-3
OFG,5.4101e-2
OGN,0.178911
OI,0.12961
OII,4.6534e-2
OMCL,3.3826e-2
OPLN,3.7184e-2
OSIS,3.5189e-2
OTTR,5.6859e-2
OUT,3.4622e-2
OXM,3.2199e-2
PAHC,7.166e-3
PARR,0.104638
PATK,7.4557e-2
PAYO,1.6949e-2
PBH,5.4122e-2
PBI,3.4026e-2
PCRX,2.1264e-2
PDFS,2.961e-3
PEB,4.6296e-2
PENN,0.107813
PFBC,3.4903e-2
PFS,8.2316e-2
PGNY,1.8919e-2
PHIN,8.0645e-2
PI,5.57e-3
PIPR,5.6039e-2
PJT,2.2378e-2
PLAB,5.4014e-2
PLMR,2.41e-2
PLUS,3.7178e-2
PLXS,6.5093e-2
PMT,3.2415e-2
POWI,2.3339e-2
POWL,1.6449e-2
PR7331747001,0.259291
PRA,2.9184e-2
PRAA,2.7661e-2
PRDO,3.111e-2
PRG,0.122183
PRGO,9.5089e-2
PRGS,2.2814e-2
PRIM,7.9519e-2
PRK,4.1792e-2
PRLB,1.5361e-2
PRVA,1.7323e-2
PSMT,5.7202e-2
PTCT,5.032e-3
PTEN,0.135252
PTGX,8.252e-3
QDEL,0.118747
QNST,7.436e-3
QRVO,9.8056e-2
QTWO,1.1124e-2
RAL,0.140331
RAMP,1.2681e-2
RCUS,5.335e-3
RDN,0.135572
RDNT,2.4124e-2
RES,1.9698e-2
REX,1.4918e-2
REYN,2.3991e-2
REZI,0.120626
RHI,0.107486
RHP,5.6269e-2
RNST,0.106402
ROCK,2.93e-2
ROG,2.8445e-2
RUN,5.3966e-2
RUSHA,0.124445
RWT,1.7758e-2
RXO,3.5916e-2
SABR,1.4084e-2
SAFE,2.5844e-2
SAFT,2.3852e-2
SAH,6.1707e-2
SANM,0.107476
SBCF,6.9271e-2
SBH,6.0358e-2
SBSI,3.0317e-2
SCHL,2.5508e-2
SCL,4.4345e-2
